period,total_value,differenced
2021-03-11,496063,-15701.0
2021-03-12,484392,-11671.0
2021-03-13,468803,-15589.0
2021-03-14,417210,-51593.0
2021-03-15,479517,62307.0
2021-03-16,508231,28714.0
2021-03-17,493355,-14876.0
2021-03-18,475956,-17399.0
2021-03-19,450085,-25871.0
2021-03-20,442192,-7893.0
2021-03-21,426421,-15771.0
2021-03-22,436028,9607.0
2021-03-23,463037,27009.0
2021-03-24,429479,-33558.0
2021-03-25,448444,18965.0
2021-03-26,432076,-16368.0
2021-03-27,394351,-37725.0
2021-03-28,390051,-4300.0
2021-03-29,452378,62327.0
2021-03-30,480140,27762.0
2021-03-31,479360,-780.0
2021-04-01,457934,-21426.0
2021-04-02,456292,-1642.0
2021-04-03,453272,-3020.0
2021-04-04,409232,-44040.0
2021-04-05,456661,47429.0
2021-04-06,468749,12088.0
2021-04-07,471522,2773.0
2021-04-08,487133,15611.0
2021-04-09,492518,5385.0
2021-04-10,471734,-20784.0
2021-04-11,474839,3105.0
2021-04-12,525514,50675.0
2021-04-13,532990,7476.0
2021-04-14,517472,-15518.0
2021-04-15,533534,16062.0
2021-04-16,527386,-6148.0
2021-04-17,498428,-28958.0
2021-04-18,478715,-19713.0
2021-04-19,526886,48171.0
2021-04-20,521145,-5741.0
2021-04-21,538271,17126.0
2021-04-22,517800,-20471.0
2021-04-23,534552,16752.0
2021-04-24,500933,-33619.0
2021-04-25,463881,-37052.0
2021-04-26,490501,26620.0
2021-04-27,509496,18995.0
2021-04-28,519394,9898.0
2021-04-29,541372,21978.0
2021-04-30,537178,-4194.0
2021-05-01,496384,-40794.0
2021-05-02,470102,-26282.0
2021-05-03,504392,34290.0
2021-05-04,545499,41107.0
2021-05-05,571166,25667.0
2021-05-06,534506,-36660.0
2021-05-07,519237,-15269.0
2021-05-08,460772,-58465.0
2021-05-09,473566,12794.0
2021-05-10,534937,61371.0
2021-05-11,586262,51325.0
2021-05-12,601726,15464.0
2021-05-13,610423,8697.0
2021-05-14,599927,-10496.0
2021-05-15,536983,-62944.0
2021-05-16,511958,-25025.0
2021-05-17,565448,53490.0
2021-05-18,561522,-3926.0
2021-05-19,588808,27286.0
2021-05-20,559280,-29528.0
2021-05-21,543910,-15370.0
2021-05-22,490985,-52925.0
2021-05-23,449848,-41137.0
2021-05-24,513276,63428.0
2021-05-25,565451,52175.0
2021-05-26,572197,6746.0
2021-05-27,564790,-7407.0
2021-05-28,550094,-14696.0
2021-05-29,544795,-5299.0
2021-05-30,517048,-27747.0
2021-05-31,568422,51374.0
2021-06-01,686061,117639.0
2021-06-02,707629,21568.0
2021-06-03,660674,-46955.0
2021-06-04,627692,-32982.0
2021-06-05,561123,-66569.0
2021-06-06,528650,-32473.0
2021-06-07,538371,9721.0
2021-06-08,532507,-5864.0
2021-06-09,518982,-13525.0
2021-06-10,502446,-16536.0
2021-06-11,533307,30861.0
2021-06-12,563697,30390.0
2021-06-13,609896,46199.0
2021-06-14,704193,94297.0
2021-06-15,723812,19619.0
2021-06-16,779663,55851.0
2021-06-17,821391,41728.0
2021-06-18,795186,-26205.0
2021-06-19,691960,-103226.0
2021-06-20,663068,-28892.0
2021-06-21,713263,50195.0
2021-06-22,640783,-72480.0
2021-06-23,595875,-44908.0
2021-06-24,606261,10386.0
2021-06-25,640017,33756.0
2021-06-26,649607,9590.0
2021-06-27,683648,34041.0
2021-06-28,788207,104559.0
2021-06-29,740002,-48205.0
2021-06-30,666582,-73420.0
2021-07-01,677147,10565.0
2021-07-02,669044,-8103.0
2021-07-03,617904,-51140.0
2021-07-04,578546,-39358.0
2021-07-05,628540,49994.0
2021-07-06,718942,90402.0
2021-07-07,709986,-8956.0
2021-07-08,788037,78051.0
2021-07-09,898716,110679.0
2021-07-10,884317,-14399.0
2021-07-11,830502,-53815.0
2021-07-12,853356,22854.0
2021-07-13,815034,-38322.0
2021-07-14,761189,-53845.0
2021-07-15,705655,-55534.0
2021-07-16,683480,-22175.0
2021-07-17,667988,-15492.0
2021-07-18,691203,23215.0
2021-07-19,800287,109084.0
2021-07-20,778211,-22076.0
2021-07-21,786141,7930.0
2021-07-22,767646,-18495.0
2021-07-23,729770,-37876.0
2021-07-24,678013,-51757.0
2021-07-25,667972,-10041.0
2021-07-26,709862,41890.0
2021-07-27,770251,60389.0
2021-07-28,841955,71704.0
2021-07-29,875771,33816.0
2021-07-30,848551,-27220.0
2021-07-31,739248,-109303.0
2021-08-01,698964,-40284.0
2021-08-02,792633,93669.0
2021-08-03,819205,26572.0
2021-08-04,837732,18527.0
2021-08-05,775741,-61991.0
2021-08-06,686527,-89214.0
2021-08-07,610988,-75539.0
2021-08-08,626815,15827.0
2021-08-09,736405,109590.0
2021-08-10,772613,36208.0
2021-08-11,792545,19932.0
2021-08-12,818029,25484.0
2021-08-13,795757,-22272.0
2021-08-14,714230,-81527.0
2021-08-15,726207,11977.0
2021-08-16,780709,54502.0
2021-08-17,711002,-69707.0
2021-08-18,659843,-51159.0
2021-08-19,619139,-40704.0
2021-08-20,592197,-26942.0
